,year,month,week,pct_de_마포구,pct_de_영등포구,pct_de_관악구,pct_de_송파구,pct_de_구로구,pct_de_중구,pct_de_양천구,pct_de_강서구,pct_de_금천구,pct_de_강북구,pct_de_강동구,pct_de_도봉구,pct_de_광진구,pct_de_서초구,pct_de_서대문구,pct_de_노원구,pct_de_강남구,pct_de_성동구,pct_de_은평구,pct_de_중랑구,pct_de_성북구,pct_de_동대문구,pct_de_동작구,pct_de_종로구,pct_de_용산구,pct_de_서북권,pct_de_서남권,pct_de_동남권,pct_de_도심권,pct_de_동북권
1408,2017,7,28,-0.08470086085745532,0.003248838703070689,0.25962578987797125,0.08570785173898265,-0.04136450619165721,-0.2282258226694105,0.05076919154817472,-0.0588299559673392,0.3016415386783149,-0.06528066528066523,0.27312178917687047,-0.3948729438563081,-0.2830743042991165,0.06197899959367836,0.10763913073761944,-0.2175818557002246,-0.011719711728078064,0.1898859597978788,-0.06133524701919468,-0.5704313418071187,-0.254804155527246,-0.11098373520858018,-0.19819806381360106,0.3534006054490413,-0.10653425619420187,-0.08300705665258568,-0.024028432045586023,0.08890968322991255,-0.10598361435634707,-0.08879886985447327
1415,2017,7,29,0.14319226186718326,-0.0929837437537595,0.14516996430677986,-0.056512046229148516,-0.06960995321118146,0.4199769830412785,-0.003735041373064907,0.038613420724672,0.21593268305129953,-1.0,-0.1796322807993067,0.3484649799444617,0.5613322554777467,-0.08256601809966813,-0.06323740950644163,-1.0,0.04885331308108287,-0.12956316770135012,-0.047105923222516055,0.36167716706495745,0.40807088510064515,0.213128975586115,0.04397045691323109,-0.09457807071174007,-0.04827652050048903,0.08421666892639701,0.0033067692557691153,-0.05400417578345451,0.05534983059975107,0.11762954110440127
1422,2017,7,30,-0.1711062482198905,-0.018214525655627978,-0.0957354123984211,-0.09073179161238465,-0.07139618076357745,-0.1133540895064088,0.050503699443355865,0.01170823589095793,-0.2332950197052871,inf,0.14992320351991806,-1.0,-0.06508081732235438,0.029227877832481264,-0.24067889528476571,inf,-0.04373849447884859,-0.016117880957433717,0.056759437967365045,0.16490634672452864,-0.1707421340629275,-0.2081400306669371,-1.0,0.07063744987112663,0.1740263371752635,-0.12095855093541319,-0.04582781601043717,-0.010772380904792933,0.10881184213379247,-0.09344163478051137
1429,2017,7,31,0.13697388721713666,-0.028384130719256495,0.37873346180650724,0.12306518629793906,0.050019852852400515,0.04327026724041261,0.05483664236178876,0.05917788932206003,0.11962543958595973,-1.0,0.008043075075847783,inf,-0.010666160561776494,0.23639405769154487,0.1435349241547994,-0.19334574867276322,0.0018392832235722967,0.056287494487044176,-0.0098311214355008,0.23128441120880927,0.341468192597175,0.26603756277661894,inf,-0.12454332192439321,-0.02523266822671999,0.11334026709261869,0.09600561196991308,0.06567870996869796,9.359797028141159e-05,0.12096557842844913
1436,2017,8,32,-0.12865085643433827,-0.008016350831184349,-0.19555530320131342,-0.027728257898424258,0.18599439277843377,0.0043471103185148685,0.14277130773166613,0.0515221825170491,0.11969686868013407,inf,0.03600414028286214,-0.008763425172020889,-0.04753083755371379,-0.2215577596266044,0.10456899884035575,-1.0,0.04046632156422625,0.12831851273883266,-0.06130593784428484,0.18800309970597295,0.08359913610895475,0.11651551131084026,-0.20676276798555138,0.24951679149553008,-0.024286240492445543,-0.1097979200968181,0.0017533795159940802,-0.048990262785550076,-0.015289268597396877,0.037273990728198036
1443,2017,8,33,0.04300371451407736,0.09299590018632142,0.12411397795372237,0.12184690231447926,-0.040565544721839486,0.023422583123011043,-0.27734464854917684,0.062108468899209734,-0.05508058273624039,-0.343344709897611,-0.12664424839061272,-0.06877101019884901,-0.23091496151207502,0.021785281954755487,-0.2327262801310227,inf,-0.03587141116900605,0.013732577992727757,0.055546680299060514,-0.8731866869741081,0.10823060445718036,-0.21007013223405968,-0.21910443985326966,0.4444205188150663,0.0401875765592179,0.024675676765154142,0.03568929852267888,0.026318062465931602,0.1283324838223563,-0.17763381103895215
1450,2017,8,34,0.08120040026668773,0.056181247095820286,0.1409643688795763,-0.1344984086561426,-0.015900304320106473,-0.09504152169367752,0.06821786061422519,0.013346795042564308,-0.2802031176564802,1.0,0.101110100026514,0.2267498776309349,0.36461172080233695,0.01451655317120748,-1.0,-1.0,0.06265592525339114,-0.12500449249594636,-0.05158291730719178,-1.0,-1.0,-0.014380851982765841,-1.0,-0.3631407292021612,-0.03718780995102544,0.029683566746430357,0.026357941936512308,-0.043823264652374405,-0.11262844037156095,0.11273547989185384
1457,2017,8,35,-0.08691091939604578,0.06207190049624911,-0.22184778878843225,0.06142941486383546,-0.05646262328909113,-0.0829615938294207,-0.06626758296285074,0.007956781487876707,0.42317905918057663,-0.12499999999999989,-0.12986029304547908,0.21796342477140485,-0.19653844769889528,0.04590330362844286,inf,inf,-0.04642061134011077,-0.12663908234825105,0.08568429975919556,inf,inf,0.042182844960831245,0.0,0.10500267522739426,-0.032461320872663624,-0.008949396561456435,-0.015922956414433642,0.014521492599025132,-0.024619647763031383,-0.07442945939238566
1464,2017,9,36,0.06729274639303129,-0.1331848736926725,-0.2021923095688566,-0.0197413362051877,0.018351017444084627,0.2204327818583911,0.2027299335296744,-0.008202892779827886,0.12259272115329689,-1.0,-0.030026241171059787,-0.22460602916988015,0.2158478510755819,0.04623678953480326,-0.500834264546053,-0.09857163060387508,-0.026268038330222288,0.3324657619136149,-0.10790589142182039,-1.0,-1.0,0.1483785084868361,0.0,-0.03273557334808985,0.027402402285469973,-0.008321500310233487,-0.01780162710905886,0.002953783985664371,0.04794870222371417,0.23049020972226986
1471,2017,9,37,-0.03074412999610243,-0.022912838816064207,0.0544283326311783,-0.05936054864436913,0.047146252537627165,-0.0017961810861074623,-0.002071535248318601,-0.05182234748566228,-0.13065771139605153,inf,0.10880302372500461,0.014648605114799151,0.050096587514017354,0.1799937971106873,1.294397252292312,0.16773350067984527,-0.011958830738746817,-0.13183325139189705,0.07859897026436635,inf,0.0,-0.3694622791016121,0.0,0.23001513688752184,-0.03264891131216596,0.061951297136393135,-0.030175894918321622,0.029769438420294225,0.00814321336856616,-0.1455392375347766
1478,2017,9,38,0.1469967365103162,0.09053890586227586,0.06948830145555163,0.13188087398567716,-0.1400422810440921,-0.09754329348665958,-0.11936718356804399,0.04859567215512728,0.054219981090450675,-0.23755788733220007,0.08262334707031993,-0.08364291709227667,-0.024519090370281993,-0.13513622148595972,-0.34984005631443404,-1.0,0.12102367434354266,0.07324679300152082,0.16740903011471508,-0.4350753716056516,inf,0.06930354756408708,inf,-0.1803957383514454,0.09289348014237353,0.10801116814296541,0.044229313628324274,0.033336917354870765,-0.0010378489016557024,0.02795846322893336
1485,2017,9,39,-0.17130105571572773,-0.07770833694941492,-0.09675235889203482,-0.0631921873936282,0.004790684992798999,-0.041994145876301125,0.09753009130602486,0.07087535607040407,-0.11377641722271381,0.2082035905124362,0.28263545972329784,-0.2353864176932089,0.19976511291018562,-0.22310283900858352,-1.0,inf,-0.10139527115597302,0.009522790880082566,-0.11940974749784738,0.943657257614638,-1.0,0.346924863126052,-0.13333333333333341,-0.4360374899137236,-0.06848020086878726,-0.15475288176130475,-0.02624428021264602,-0.04200308958953003,-0.05426265415198084,0.11145482522043149
