,year,month,week,pct_서초구,pct_영등포구,pct_종로구,pct_강서구,pct_양천구,pct_강남구,pct_강동구,pct_마포구,pct_관악구,pct_노원구,pct_중랑구,pct_서대문구,pct_구로구,pct_송파구,pct_성동구,pct_동대문구,pct_도봉구,pct_용산구,pct_은평구,pct_광진구,pct_금천구,pct_성북구,pct_중구,pct_동작구,pct_강북구,pct_동남권,pct_서남권,pct_도심권,pct_서북권,pct_동북권
2094,2019,5,22,-0.08502919273495657,0.7313991567108638,0.26938358303139553,-0.1681136542715156,0.2414450943034645,-0.08252493465557387,-0.33745238330878846,-0.16945014998950025,0.18502082993068414,-0.06188334619267655,-1.0,-0.04217869459419832,-0.1473564133888967,0.03301585758081971,-0.12015886114814989,0.3214246104420799,-0.1002958728024379,-0.017858798083545957,0.26644628517159497,0.4829850173878216,0.2677084318407572,0.3403651617817003,0.11671363419241576,0.1618101758708652,inf,-0.08702507372093427,0.26960548509404036,0.08744064422314346,-0.04503063939694674,0.2726060929492071
2101,2019,6,23,-0.08423912692885771,0.14573657607029689,0.10490986696581439,0.23780700544772526,0.3239472975462978,-0.03808817409891041,0.2545340717547546,0.16855385252468236,0.19169777832830692,0.09118979955893147,inf,0.1778600430848305,0.16072922507887344,0.11050279231025106,-0.10375097048356108,-0.24795182778177627,-1.0,0.2162893818932321,0.30012055549736605,-0.40397315985209237,-0.06476810290624557,-1.0,0.3127172235801592,0.9283740242987617,-0.24742247070066425,0.04006585015600428,0.2203346628170213,0.23174232454114918,0.17101072612424373,-0.3451819348103654
2108,2019,6,24,0.3811490826561912,-0.24214779009298593,-0.23700545820706276,-0.003236307695843932,-0.2554533860649296,0.243102163644064,-0.09963294248668564,-0.1072515134801858,-0.055110281253106574,-0.11399805217943737,-0.2304406294634307,-0.021623384745399266,0.16187112306484597,-0.1260740981048183,-0.022393022023722176,0.07144411936095096,inf,-0.18972879056738368,-0.4668816041209598,0.289052427003355,-0.15118184763052311,0.0,-0.07694963474573524,-0.49427479607343794,-1.0,0.07162006797686704,-0.14898457632879203,-0.19131761009317239,-0.13257392422094305,0.12043969818209455
2115,2019,6,25,-0.20298331075147624,0.4357505760834184,0.02775661325496115,-0.05162028783073225,0.07054951077578964,0.033610251039350114,-0.00672656837791652,0.006382469645902056,0.09227875125099927,0.03572301432130365,-1.0,0.028746155367754378,-0.1481661666947901,0.06177990400360578,0.07872909344855006,-0.021250349782870548,-0.3044393453320867,0.5747734856253797,-0.004647079531060361,-0.08192739246738323,-0.20325602984046964,0.0,-0.081510506371409,0.0894719511848796,0.0,-0.035877258694803515,0.24664675387126644,0.14953805287843647,-0.0026561690527053816,-0.04899176682593387
2122,2019,6,26,0.06147716281503146,-0.3368840749834837,-0.011429270302663164,0.02312093771867918,0.31304579763080653,0.040562908352874016,0.1174997078952369,0.0794029641353382,-0.06047323077904654,0.06227421010901257,inf,0.3554247668564876,-0.00432713061196166,0.17289478454579954,0.7590382288396504,-0.13820662008374185,0.44751485231213994,-0.03146949034469848,0.22440389500188718,0.24804987064806716,0.3937891292863811,0.0,0.298602571659919,0.21715886888992486,0.0,0.09440936267522804,-0.18320683450740471,-0.03644578763823281,0.3509055568899444,0.3904632475012164
2129,2019,7,27,0.10018923887024433,0.4384765192198561,0.08596459096846054,-0.20978631193736674,-0.09571987887962863,-0.11733975631600224,0.1762914824582451,0.013199347108729498,-0.2037142118538683,0.058571071414612375,-0.3587796602168092,-0.19290939980160537,0.07457612356315124,-0.17803321699538321,-0.35280927964351494,0.4213929383556554,-0.20840207721460402,-0.19582966367066656,0.29737513003187277,-0.3415423023209695,0.23342274735696278,inf,-0.2329854076349419,0.14261300458863313,0.0,-0.0422557997192351,-0.005516581598681625,-0.04593378508779833,-0.15224159973551943,-0.19310073680064854
2136,2019,7,28,-0.25893238191883106,-0.20962562814072427,0.03328553170925441,0.11116545184260995,0.10844663129644627,-0.0852386905979221,-0.13112288227055013,-0.009790591471889765,0.20006809818288862,-0.17985326921880618,-1.0,-0.07554147438391468,-0.07352456100713622,0.09177951994408029,0.21803733419916504,-0.09411364275767198,0.6371033551258962,-0.08285883951995154,-0.49780264303554767,0.04798149178162259,-0.18682976867329093,-1.0,0.09904724971206336,-1.0,inf,-0.057080970191266345,0.011718133258180607,0.039770720872660315,-0.032134772266606215,0.08348740591217241
2143,2019,7,29,0.37525396528371013,0.005058048126334036,-0.21314395609289594,0.34104945792777563,0.003040812354563327,0.24110264485099342,-0.054532155798902915,-0.09884487468385139,-0.265426549324416,0.25847735559739715,0.0,0.1882544899611287,-0.04327471682587081,0.11994481357807829,-0.3413057581957434,-0.09091680926785084,-0.3345499106301042,0.05907820375127337,0.7764024992028187,0.1590061264263094,0.044017598447361195,0.0,0.1001770862332505,0.0,-1.0,0.19168328312391236,0.07170368852124898,-0.0628888296708282,-0.07287533993101225,-0.1524529614224509
2150,2019,7,30,0.023405666075003717,0.15717339636431382,0.11264613825770575,-0.26084499587427235,0.02797718985003339,-0.15169615351961974,0.49069157063704316,-0.036473118302186025,0.19713417784313747,-0.10685718658682974,inf,-0.2970303606737955,0.06513520628886127,-0.12734722659805897,0.15195577055020815,-0.07235567052600667,-0.043521042656497366,0.063852296913399,0.10033879356401032,-0.20728176167916368,-0.0014383579698618032,inf,-0.15100482281392458,inf,inf,-0.08447851539784168,-0.03102877411647298,0.1008558064428442,-0.03519492693580084,-0.03746774200972092
2157,2019,7,31,-0.16644401209071258,-0.13642115069355143,-0.1887535089593897,0.03682647962183028,-0.006409577405337319,0.2771359608283148,-0.4141966632532067,0.1298001380711209,-0.09537179825881792,0.03573916144870237,0.993846153846154,0.362245983950771,-0.03713959426346369,0.03993845427573994,-0.08313024900403565,0.24128307081468559,-1.0,0.07470718724927217,0.05530696966071558,0.8048276297825372,0.1433088565686622,-0.3884782450305486,0.14808842073197348,0.41164963417595946,0.17320430805686948,0.00920005032942095,-0.03536483868472606,0.02177278998133847,0.13950203916101334,0.20025033750141885
