,year,month,week,pct_de_관악구,pct_re_관악구,pct_de_은평구,pct_re_은평구,pct_de_송파구,pct_re_송파구,pct_de_구로구,pct_re_구로구,pct_de_영등포구,pct_re_영등포구,pct_de_마포구,pct_re_마포구,pct_de_광진구,pct_re_광진구,pct_de_도봉구,pct_re_도봉구,pct_de_중랑구,pct_re_중랑구,pct_de_성북구,pct_re_성북구,pct_de_성동구,pct_re_성동구,pct_de_용산구,pct_re_용산구,pct_de_금천구,pct_re_금천구,pct_de_강동구,pct_re_강동구,pct_de_중구,pct_re_중구,pct_de_강서구,pct_re_강서구,pct_de_강남구,pct_re_강남구,pct_de_서초구,pct_re_서초구,pct_de_양천구,pct_re_양천구,pct_de_동대문구,pct_re_동대문구,pct_de_노원구,pct_re_노원구,pct_de_서대문구,pct_re_서대문구,pct_de_강북구,pct_re_강북구,pct_de_동작구,pct_re_동작구,pct_de_종로구,pct_re_종로구,pct_de_서남권,pct_re_서남권,pct_de_서북권,pct_re_서북권,pct_de_동남권,pct_re_동남권,pct_de_동북권,pct_re_동북권,pct_de_도심권,pct_re_도심권
2052,2019,4,16,-0.1038887174182036,0.06965900192211905,0.29419929056795713,-0.0480924764271905,0.032062056512230264,-0.016996692293938742,0.19133094634007564,-0.06093600764087892,0.7459565387364013,-0.16702718503361547,0.24873116868933898,-0.011838454803422382,-0.21722017220172185,-0.08489892984542213,0.7494627618858616,-0.0840336134453783,2.3124720357941833,-0.3214061519146265,inf,inf,-0.45360383088508294,0.14071856287425177,0.6575016947685737,-0.13645038167938928,0.03154968728283514,-0.21747233546884115,0.26705516215349534,0.07477914644767947,1.5790568994221914,-0.24559111691704794,0.16617486122648062,-0.04817614196516573,-0.47509900644801284,0.009371622664814172,-0.4497195269860521,0.2840819542947204,-0.14185732793738592,-0.1225585649377472,0.5748745688303549,-0.12610229276895923,-0.358695303220007,-0.03472222222222221,0.9325405104666529,-0.1220973782771535,0.0,0.0,-0.6671894883252938,0.2178932178932178,-0.45992405263136027,0.40064490124949637,0.208211663310913,-0.06603106584899943,0.24804064130633363,-0.06353046594982081,-0.2238153114491006,0.049126824262693436,0.3300837736092941,-0.10058343057176178,0.28540967346467183,-0.032295948326482526
2059,2019,4,17,0.08072647062919858,-0.04409795015140938,-0.41116563352969826,0.16364156788793105,-0.3641680826671805,0.05186111458463549,0.5811547111978022,-0.029953213995117745,-0.4623664852241367,0.2651399695195309,0.1251735515575576,-0.045935003829740695,-0.3654784352458772,-0.12681912681912677,-0.4301217978635139,0.06472986748216147,0.04509767504685369,0.06753006475485668,-0.8073853949611669,16.833333333333336,0.334564588632958,0.1338582677165352,0.2935985989796921,0.030939226519336893,-0.14064197127281974,0.0595258613935854,-0.3388153595582992,-0.07284824703574178,-0.4028422521573207,0.6883116883116884,-0.037805141733173064,0.05102789086403536,0.40235440823477875,0.18179077479650263,0.07657621858715613,-0.11282365992399745,2.4468482490272376,-0.26160053799596505,-0.6127279635888783,0.4244197780020178,2.9387264717661195,-0.6762589928057554,0.8140348351806532,-0.38225255972696237,inf,inf,0.2755646452071847,-0.11137440758293826,0.40419639594591983,-0.10143884892086341,-0.029981176315585167,0.05269001730528289,0.07969928239723423,-0.004971044010370074,-0.10098146217862303,0.027206900666919998,-0.4831230008033842,0.2381796690307325,0.21510188834307709,0.17281553398058258
2066,2019,4,18,-0.010108621376093807,0.19704185912931105,0.2819948173261091,0.05135217259191727,0.11807667280067746,-0.04025216477663862,-0.17209867568391157,-0.015045871559633106,0.7203949513796633,-0.18281982190684032,-0.28314420395063467,0.05969668284626728,-0.49153087478559176,0.6339285714285716,1.1462926364579928,-0.20957395883197716,-0.00932717266039862,0.12016175621028302,1.4263322884012544,-0.5911214953271029,1.22375352498825,-0.24010416666666667,-0.3225500121645909,0.3451232583065382,-0.20647553553349596,0.16365286744382934,0.2301795647168161,-0.033087220535467754,-0.05653853491033933,-0.24307692307692308,-0.12823008989375084,0.02947620766097825,0.028793785772208702,-0.08635475466782438,-0.062407067892769064,0.11567164179104483,-0.11302266775038372,-0.022540983606557208,-0.08066207823189864,-0.023236044205157125,-0.5101804778851042,1.7277777777777779,-0.2662175351727093,0.15193370165745845,0.4850674373795758,-0.1737967914438504,-0.25883583130010457,0.276,-0.4610074780179143,0.21605856113462196,0.038335092366839296,0.01235978081443223,-0.20158884380444642,0.07702170528436603,0.10752620406244673,-0.010817429410519552,0.3868873979365566,-0.13107772942112372,-0.43931581942389364,0.03742904446546835
2073,2019,5,19,-0.20943162909957158,-0.07016421411814866,-0.12080214117365096,-0.04947976878612681,0.5960744851251509,-0.1057058157351275,0.061227325608037786,-0.005464480874316946,-0.07699293209396685,-0.01756096130871665,-0.3139819745226291,0.10338992893872656,0.627113641155387,-0.1390406800242866,-0.37248402174949913,0.19985465116279078,-0.0013073352105323899,-0.03339350180505418,-0.552515579875361,0.2628571428571429,0.07328321022716833,0.10578021475896748,0.2616060789468706,-0.1741605008537278,0.03300162615665769,-0.003284300120270478,0.31654213866795167,0.10870056497175162,0.7880883175967213,-0.11382113821138218,0.13083258268677667,-0.017814987080103206,0.3051229290098272,0.08685082872928174,0.03582866293034481,-0.052855924978687074,-0.4113679173242376,0.5463312368972744,0.5797774173703933,-0.19691035683202784,-0.6672461662212306,0.45010183299388995,-0.20012544337745486,0.4028776978417268,-0.46805060006487187,0.16504854368932054,3.961123651868573,-0.490073145245559,1.0451796513696192,-0.271820917983446,-0.061263182220534174,-0.02619782241987445,-0.20434032927250356,0.040053763440860646,0.3414480170496923,-0.02231314177656918,0.030548067773931153,0.05217458949686393,0.8335238721881812,-0.18549444286121408
2080,2019,5,20,0.5219210946260671,-0.09901089449541312,0.6476198784495046,-0.14758313931264577,-0.11719682814401511,0.19043584061182783,-0.15917133437994757,0.04061156235069263,-0.00040050203758146274,0.08067473662130964,0.3650219778951991,-0.0720528638909681,0.4609435450133095,0.04996977634495292,0.07917798260974651,0.001257978847318597,-0.5574497268964165,0.3013205282112845,3.1250849184782608,-0.40271493212669685,-0.24430155404703158,-0.05702479338842992,0.060115925407453696,-0.1798759476223294,0.24293505706494312,-0.1467563930013458,-0.5194293579599003,0.020464737056665072,-0.11631867318228917,0.1842507645259941,-0.31352228190035325,0.07838709911789143,-0.15241816740287673,-0.1187888783456087,0.8857004830917865,-0.18731873187318748,0.1595387387387388,0.1338575560375992,-0.36702394179029696,0.15415876456244915,0.19151590767311322,0.26029962546816465,-1.0,-1.0,-1.0,-1.0,-0.7890124705089316,0.5785519125683056,0.10154028562198936,0.10824076466029453,-0.062058442355588994,0.054243536834436945,0.19618118090382652,-0.0416699803169176,-0.07452020856113983,-0.005094236984416911,-0.15843144109164908,0.04464855457797556,-0.061191468768875046,0.05429975075996585
2087,2019,5,21,-0.3614201913981472,0.0844351104959189,-0.1117337333803976,0.0434841690447072,-0.14576938411129414,-0.09807739630029833,0.10895891171891336,-0.03134652308206021,-0.26059382393152253,0.0073536539156333625,-0.3129750596647366,0.07900060084117766,0.8828870744575712,-0.2810592976396086,0.16963140880934735,-0.07729997536473887,0.8347354438786805,-0.34594095940959413,0.7900652572204951,-0.6742424242424243,-0.38566718421443125,0.17207128250073045,-0.7085900957754845,0.33137254901960755,-0.28969308403013083,0.21432200603723928,0.4606185450646201,-0.13662511984659642,-0.06778139162889907,-0.1579083279535184,0.36353876069989766,-0.11132146076096017,0.3543131038445604,0.04911868390129204,-0.05645932605762494,0.11973910903273466,-0.6337779545765325,0.05460342766042281,-0.11365318098122545,-0.07295052365474908,1.66694091249065,-0.22436849925705793,inf,inf,0.0,0.0,0.5501740073026016,0.039809606231069106,-0.40471256774248987,-0.09277389277389292,-0.0655418042904522,-0.03450083280792782,-0.28808370348627066,0.01787099423565386,0.14599087697903101,0.001991868249209716,0.0615557082839544,-0.10504061686869326,-0.42430532328617965,-0.06149221098660851
2094,2019,5,22,-0.02748028141512282,0.040140845070422815,-0.2580296382150842,0.023336371923427413,0.11679003068396732,-0.027352860662469447,-0.2846015474485645,0.06277980930248472,-0.019420238997720163,0.09067025578333676,0.6699098056746167,-0.0822799781515714,-0.4566478998500162,0.3533881415047331,-0.04704628971991476,0.029813996262125775,0.18298642533936627,0.11612599905970855,-0.9511017066102396,4.325581395348838,1.6282829234956582,-0.12961116650049864,1.2183864118895968,0.06921944035346117,0.3696839696839691,-0.06285995569776004,-0.223939074290881,0.1568969620052354,-0.16065251410451753,0.18502759889604392,-0.043068020348695946,0.05863794113670151,-0.16245034864639374,0.0033296676441838535,-0.28505036308874643,-0.022467147096227325,2.2969450101832987,-0.34045999352121803,0.3823692155359033,-0.002337358784573418,-0.24072762711389062,-0.29022988505747116,4.0739371534195925,-0.2139110889110889,0.0,0.0,1.1270543162032212,-0.10736579275905134,-0.010643458050173082,0.12661870503597128,-0.0060672114564960244,0.023514707441440352,0.5132331092620244,-0.05357714181243578,-0.12124782300897075,0.004562907240977854,0.006893888252464286,0.057821079700243416,0.17157925839432675,0.18533415841584167
2101,2019,6,23,-0.12030013878045809,-0.0012363486503196297,-0.0007492022608746041,0.09810018949516564,-0.34293497260461914,0.07320511678983799,0.08799842770457444,0.06716012137582639,-0.05184809783239086,-0.08714323932358037,-0.07583493324773505,-0.02656149736475888,-0.3367115164545549,0.3740220892774968,-0.1456588192722934,0.09765752530199134,-0.5392696858425131,0.36983993260320114,2.4336782690498593,0.48908296943231444,-0.5836594714545087,0.18041237113402064,-0.32642650690044606,0.07782369146005497,-0.427791518998635,0.051986935220468045,0.5739507094846901,-0.12170037709976023,-0.3476320759752731,-0.045555016442935026,0.07551111455411963,-0.009523621477181554,0.11730760097766457,-0.00959050083726587,-0.23836419258624775,0.2137475979116712,-0.5298163248496828,0.33857236411263925,0.2630670406825235,-0.09137055837563435,0.05299764067095447,0.09149797570850193,-0.8202313616463746,0.6142441090812818,0.0,0.0,0.5858419780898567,-0.13356643356643338,-0.32487609067022116,0.19252873563218387,-0.03867547842118546,0.0011124793746792871,-0.19857374070215927,0.04543142614940621,-0.04724209908991572,0.04134165366614706,-0.09054309055365961,0.0833244085479421,-0.3016840537722405,0.048489142459385626
2108,2019,6,24,-0.18695033042533782,0.016185269238704558,0.06739536311056282,0.09101429543907402,0.20111099588336345,-0.014740248067589667,0.41495679998613766,-0.06148713060057187,0.44639617306800905,-0.17046255817233102,-0.04422011607528509,0.02354857411037181,0.23799160883033332,-0.1574981160512433,-0.6626980050541368,0.17448042532624464,2.204671241974762,-0.4035977859778598,0.5635616438356164,-0.4750733137829912,-0.01691820402833799,-0.13100436681222716,0.42378834595546944,-0.12089456869009585,0.32341013136942665,0.06727037516170764,0.2130371242028546,-0.07486338797814207,-0.021608334145763908,-0.023441030275643593,-0.13553527214810468,-0.03576976808589283,-0.07657695060278591,0.01260375038426087,0.5105540764428891,-0.1318023874908928,-0.1290619251992643,-0.1010273972602741,-0.18629989054074114,0.30693394676306274,-0.2837499386141531,0.728486646884273,0.7204185024823189,-0.050844677710349506,inf,inf,-0.5247753166188373,0.17857142857142838,0.31049585839101335,-0.05381526104417689,0.05329884360506165,-0.040201644470705844,-0.02093141255807185,0.042375081499051115,0.02492130011023974,-0.06016104868913841,0.040566813564466786,0.042916313280496166,0.3788380900852155,-0.06617404499571167
2115,2019,6,25,0.6682731179471806,-0.19093686871250348,-0.08839033092886062,-0.05226921757034997,0.032435638509531906,0.05002736726874679,-0.2555023742723854,0.05356556030233328,-0.15417230110434965,0.21285316937490872,0.08273634454184076,-0.036494067700238886,2.570631966989557,-0.14529914529914545,3.787026039287346,-0.3423868312757201,0.6272149493972576,0.025522041763341052,-0.6397406693534257,0.12290502793296065,-0.4718854196931337,0.26088777219430503,2.2438865204062086,-0.7274313126907981,-0.067848205976631,-0.019111111111110968,-0.3050431672766898,0.1534891570331618,1.0061495099609243,-0.00926600728787108,0.2963625586806553,0.12074063159962711,0.017309231026678473,0.012258159799143131,-0.5796742169359149,0.08448317598644395,0.6436566601297333,0.06171428571428583,-0.30280165319483565,-0.018129243148101715,-0.6294137812821392,-0.3047210300429185,-0.3491051330307391,0.17090029376187998,0.4564754098360655,-0.2736318407960199,0.2039643581422117,0.02242766649546324,0.7477531300327289,-0.02023203169213339,0.08848842396772816,0.05954035243769917,0.09641245401797605,-0.032189248127429515,-0.09310668151558288,0.06448771938259279,0.2587141924518854,-0.015882484049368206,0.6484644730567479,-0.07839803824596103
2122,2019,6,26,-0.007945440493870914,0.12835633626097875,0.8609118030233625,-0.18634020899393067,0.5322955662923023,-0.08422528032619803,0.12789086600374167,0.05410428363485131,0.028312216036831872,0.03415811707905836,0.06794416335265097,-0.004846911176025204,-0.32728828193068416,-0.010697674418604808,-0.49094255915647667,0.39090529828952825,-0.7792377333658816,0.2187028657616894,2.6680447470817126,-0.5522388059701492,1.2877164056059356,-0.08767851212221844,-0.8702065509316942,2.8600000000000003,0.1193031114848917,0.007981597016486042,0.0747774936701171,-0.09249776477281957,-0.02607126891883249,0.024064733081126333,-0.1313017855580748,-0.0644092606211466,-0.3069423253034794,0.10056924238424081,2.452442473424595,-0.21414351851851854,0.3133500982029771,-0.2811010302937107,-0.05719426805770911,-0.009961842812876043,0.53068146777675,0.16049382716049387,2.88762997063259,-0.30423553719008256,-0.22657437109572842,-0.17808219178082196,-0.45565945177502354,0.16027174433068625,-0.36848232642243206,-0.14127557160048132,-0.03926127528770096,-0.0030643325450467884,0.306519942029587,-0.09221160911094795,0.2003102728165198,-0.011813889251787169,-0.216512837129738,0.009533791292049676,-0.4694107607258673,0.04843404474157853
2129,2019,7,27,0.1329870340137893,-0.06973572037510678,-0.348513098119119,0.16615139734916884,-0.4931229618595845,0.039674809676201184,-0.18304656459031476,0.06360543669284002,-0.2564710202954652,0.007033248081841137,0.19466698206708788,-0.01955297492042407,-0.7100711799189243,0.2706024581906108,-0.013890786689107038,-0.1106178764247151,0.8838846153846154,-0.001980198019801982,0.5471723132002917,1.2296296296296294,-0.19527451980282162,0.02948671277757553,1.3422395250031105,0.07409326424870466,-0.10355170927660684,-0.04727601045028407,0.047114578931914286,0.01741017603086581,0.05550546694424874,0.09697280656747043,0.04429736734063838,-0.03143664024101789,0.16832324326012604,-0.051697290563687326,-0.6136037365792507,0.4056084126189283,-0.729606335895644,0.6146167557932265,0.2987077679652579,0.06903489107317351,1.9862006446414182,-0.349290780141844,0.3458369153164502,-0.051224944320712784,-1.0,-1.0,0.4542963289928641,-0.23165099785584709,0.285232398509512,0.13004484304932706,-0.02309458381434637,-0.0065049402528732925,0.09525443128693323,0.05027271574140624,-0.2801733417526092,0.03107529024864264,-0.08803526915763116,0.0073377316175669005,0.4545351054748721,0.11469185943846005
2136,2019,7,28,0.07345982206652701,-0.10138248847926234,0.1810541830622152,-0.01709780297661201,0.6633287923261662,-0.06513370006343888,0.36323801041081105,-0.11084162017948129,0.1281284052270193,0.029454270597127907,-0.22953941535955458,-0.009294552828735814,0.622695849812644,-0.09026035810051036,0.5259152987458051,-0.045730473492513135,-0.45325738551683303,-0.22867063492063489,-0.5450734201805507,0.12292358803986736,-0.03348400997000556,-0.09165487977369169,0.5410002513024723,-0.32808061317467974,0.9310786647058222,-0.06942232079846788,-0.27542588061493,0.11945392491467577,-0.2928517071460742,-0.10196445275958821,0.23056208112390286,0.03247359709140607,0.16285919906983848,-0.12335928809788621,-0.16395060982973053,-0.11876901153709118,3.0889042039972434,-0.24961360123647602,0.15864159771970554,-0.12198770151238147,-0.2823669623683118,0.4178019981834695,-0.5888890333654071,-0.09765258215962425,0.0,0.0,0.20223843789915663,-0.022689706987227498,-0.5092394787438582,0.037946428571428825,0.18489631284419805,-0.021930532982027073,-0.24395856377310066,-0.04077294685990318,0.21436716711118775,-0.09380432182441667,0.06350701394635938,-0.022154591042711225,0.11171282240009828,-0.17287128712871258
2143,2019,7,29,-0.09909178270308938,0.25459725459725413,-0.3428491284311762,0.04706624605678256,-0.1822887446610364,-0.04245474000809757,0.17256467737893044,-0.020611702127659504,0.5377525428048471,-0.2026648203188327,-0.008499087362728752,0.11376713957359086,-0.29754418558601325,0.041169479439030265,2.249446011448543,-0.3808312128922816,5.664721807318894,-0.28778135048231523,0.30899414415121584,-0.21338757396449703,0.27054133773237976,0.08185099016249264,-0.7038757721555562,0.7586470963624763,0.8262530322478114,-0.24960998439937587,0.8229697621323138,-0.06797827743902474,-0.44988830601641516,0.10000000000000009,0.32142977779400783,-0.07051361005049828,-0.3521659002034736,0.01845155014169042,2.697939573831937,-0.09767702211027163,-0.0818515085117143,-0.20494335736354274,0.004570970371486238,0.03596029923709332,-0.4692810252714368,-0.05675848814862272,2.957350868259275,-0.35137010058966356,0.0,0.0,0.9243377661085199,-0.3127306273062732,1.130531564419909,0.09638318670576718,0.3161312181904363,-0.07904913147985171,0.027213272693580315,0.11409412728913093,0.004550465524874037,-0.0307583235622938,0.35046409404619405,0.006160039773485559,-0.42875870147052586,0.29063921474742616
